Барабаны для рукавов высокого и низкого давления производства Ramex S.r.L. (Италия),,,
Барабаны из нержавеющей стали с ИНЕРЦИОННЫМ МЕХАНИЗМОМ,,,
AV 1200,"Барабан для рукава длиной 12 м 3/4"" - 8 м 1"" (нерж.)","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",622
AV 1300,"Барабан для рукава длиной 18 м 3/4"" - 15 м 1"" (нерж.)","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",921
AV 3501,"Барабан для рукава длиной 20 м 3/4"" (нерж.)","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",718
AV 6001,"Барабан для рукава длиной 40 м 3/4"" - 30 м 1"" (нерж.)","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",1559
AV 1000,"Барабан для рукава длиной 15 м 1/2"" (нерж.)","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",523
AV 1100,"Барабан для рукава длиной 20 м 1/2"" (нерж.)","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",547
AV 1500,"Барабан для рукава длиной 15 м 1/2"" (нерж.) Легкая пружина возврата","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",484
AV 2000,"Барабан для рукава длиной 20 м 1/2"" (нерж.) Легкая пружина возврата","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",560
AV 3500,"Барабан для рукава длиной 35 м 1/2"" (нерж.)","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",699
AV 6000,"Барабан для рукава длиной 60 м 1/2"" (нерж.)","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",1405
AV825,"Барабан для рукава длиной 25 м 1/2""(нерж.)","AV 1500, AV 2000 AV 1000, 1100, 1200, 1300, 3500, 3501, 6000,6001",699
ST 15,Кронштейн поворотный из нерж. стали для барабана AV 1000 - AV 1500,"ST 22 , ST 30    ST 15, ST 20",103
ST 20,Кронштейн поворотный из нерж. стали для барабана AV 1100 - AV 1200,"ST 22 , ST 30    ST 15, ST 20",103
ST 22,Кронштейн поворотный из нерж. стали для барабана AV 1300,"ST 22 , ST 30    ST 15, ST 20",149
ST 30,Кронштейн поворотный из нерж. стали для барабана AV 3500 - AV 3501,"ST 22 , ST 30    ST 15, ST 20",149
AV 2201,"Барабан для рукава длиной 12 м 3/4"" - 8 м 1"" (нерж.)","AY 2200, 2201, 2300, 3000, 4000, 4500, 5000",732
AV 2300,"Барабан для рукава длиной 18 м 3/4"" - 15 м 1"" (нерж.)","AY 2200, 2201, 2300, 3000, 4000, 4500, 5000",922
AV 5000,"Барабан для рукава длиной 30 м 3/4"" - 25 м 1"" (нерж.) 1""","AY 2200, 2201, 2300, 3000, 4000, 4500, 5000",1133
AV 2200,"Барабан для рукава длиной 20 м 1/2"" (нерж.)","AY 2200, 2201, 2300, 3000, 4000, 4500, 5000",674
AV 3000,"Барабан для рукава длиной 25 м 1/2"" (нерж.)","AY 2200, 2201, 2300, 3000, 4000, 4500, 5000",780
AV 4000,"Барабан для рукава длиной 40 м 3/8"" (нерж.)","AY 2200, 2201, 2300, 3000, 4000, 4500, 5000",995
AV 4500,"Барабан для рукава длиной 40 м 1/2"" (нерж.)","AY 2200, 2201, 2300, 3000, 4000, 4500, 5000",1064
ST 20,Кронштейн поворотный крашенный для барабана AV 2200 - AV 2201,"ST 22 , ST 30_ST 20",103
ST 22,Кронштейн поворотный крашенный для барабана AV 2300,"ST 22 , ST 30_ST 20",149
ST 30,Кронштейн поворотный крашенный для барабана AV 3000,"ST 22 , ST 30_ST 20",149
Пневматические барабаны из нерж. стали с полиуретановым рукавом с ИНЕРЦИОННЫМ МЕХАНИЗМОМ,,,
AVC 1014,"Барабан в пластиковом корпусе C/W с рукавом 10 м 1/4"" (нерж.)","AVC 1060_AVC 1014, AVC 1514, AVC 1038",174
AVC 1514,"Барабан в пластиковом корпусе C/W с рукавом 15 м 1/4"" (нерж.)","AVC 1060_AVC 1014, AVC 1514, AVC 1038",184
AVC 1038,"Барабан в пластиковом корпусе C/W с рукавом 10 м 3/8"" (нерж.)","AVC 1060_AVC 1014, AVC 1514, AVC 1038",184
AVC 1060,"Барабан в нержавеющем корпусе с рукавом 10 м 1/4"" (нерж.)","AVC 1060_AVC 1014, AVC 1514, AVC 1038",463
Барабаны в корпусе из нержавеющей стали с ИНЕРЦИОННЫМ МЕХАНИЗМОМ,,,
AVC 3020,"Барабан в нержавеющем корпусе с рукавом 20 м 1/2"" (нерж.)",,892
AVC 3015,"Барабан в нержавеющем корпусе с рукавом 15 м 1/2"" (нерж.)",,970
ST 25,Кронштейн поворотный из нерж. стали для барабана AVC 3020,,169
ST 26,Кронштейн поворотный из нерж. стали для барабана AVC 3015,,169
Барабаны из нержавеющей стали с ручной намоткой,,,
AVM 9320,"Барабан для рукава 20 м 3/4” или 12 м 1"" (нерж.)",,418
AVM 9520,"Барабан для рукава 35 м 3/4” или 20 м 1"" (нерж.)",,476
AVM 9620,"Барабан усиленный для рукава 20 м 3/4"" или 12 м 1"" (нерж.)",,569
AVM 9720,"Барабан усиленный для рукава 35 м 3/4"" или 20 м 1"" (нерж.)",,616
AVM 9814,"Барабан для рукава 15 м 3/4” или 10 м 1"" (нерж.)",,463
AVM 9815,"Барабан для рукава 20 м 3/4” или 15 м 1"" (нерж.)",,474
AVM 9816,"Барабан для рукава 25 м 3/4” или 20 м 1"" (нерж.)",,498
AVM 9817,"Барабан для рукава 30 м 3/4” или 25 м 1"" (нерж.)",,522
AVM 9000,"Барабан для рукава 20 м 3/8” или 16 м 1/2"" (нерж.)",,237
AVM 9000 double support,"Барабан для рукава 20 м 3/8” или 16 м 1/2"" (нерж.)",,332
AVM 9310,"Барабан для рукава 50 м 3/8” или 35 м 1/2"" (нерж.)",,347
AVM 9510,"Барабан для рукава 70 м 3/8” или 50 м 1/2"" (нерж.)",,417
AVM 9610,"Барабан усиленный для рукава 50 м 3/8""или 35 м 1/2"" (нерж.)",,522
AVM 9710,"Барабан усиленный для рукава 70 м 3/8""или 50 м 1/2"" (нерж.)",,578
AVM 9810,"Барабан для рукава 35 м 3/8” или 25 м 1/2"" (нерж.)",,401
AVM 9811,"Барабан для рукава 50 м 3/8” или 35 м 1/2"" (нерж.)",,425
AVM 9812,"Барабан для рукава 60 м 3/8” или 43 м 1/2"" (нерж.)",,449
AVM 9813,"Барабан для рукава 70 м 3/8” или 50 м 1/2"" (нерж.)",,485
Барабаны стальные окрашенные с ИНЕРЦИОННЫМ МЕХАНИЗМОМ,,,
AV 1200 FE,"Барабан, окрашенный для рукава длиной 12 м 3/4"" - 8 м 1""",,398
AV 1300 FE,"Барабан, окрашенный для рукава длиной 18 м 3/4"" - 15 м 1""",,582
AV 3501 FE,"Барабан, окрашенный для рукава длиной 20 м 3/4""",,669
AV 1000 FE,"Барабан, окрашенный для рукава длиной 15 м 1/2""",,275
AV 1100 FE,"Барабан, окрашенный для рукава длиной 20 м 1/2""",,341
AV 1500 FE,"Барабан, окрашенный для рукава длиной 15 м 1/2""",,256
AV 2000 FE,"Барабан, окрашенный для рукава длиной 20 м 1/2""",,284
AV 3500 FE,"Барабан, окрашенный для рукава длиной 35 м 1/2""",,559
ST 15 FE,Кронштейн поворотный окрашенный для барабана AV 1000 FE - AV 1500 FE,,75
ST 20 FE,Кронштейн поворотный окрашенный для барабана AV 1100 FE - AV 1200 FE,,75
ST 22 FE,Кронштейн поворотный окрашенный для барабана AV 1300 FE,,106
ST 30 FE,Кронштейн поворотный окрашенный для барабана AV 3500 FE - AV 3501 FE,,106
AV 2201 FE,Барабан окрашенный для рукава длиной 12 м 3/4”,,398
AV 2300 FE,Барабан окрашенный для рукава длиной 18 м 3/4” - 15 м 1”,,561
AV 5000 FE,Барабан окрашенный для рукава длиной 30 м 3/4” - 25 м 1”,,892
AV 6301 FE,Барабан окрашенный для рукава длиной 50 м 3/4”,,1518
AV 2200 FE,Барабан окрашенный для рукава длиной 20 м 1/2”,,328
AV 3000 FE,Барабан окрашенный для рукава длиной 25 м 1/2”,,632
AV 4000 FE,Барабан окрашенный для рукава длиной 40 м 3/8”,,669
AV 4500 FE,Барабан окрашенный для рукава длиной 40 м 1/2”,,705
ST 20 FE,Кронштейн поворотный окрашенный для барабана AV 2200 FE - AV 2201 FE,,75
ST 22 FE,Кронштейн поворотный окрашенный для барабана AV 2300 FE,,106
ST 30 FE,Кронштейн поворотный окрашенный для барабана AV 3000 FE,,106
Барабаны напольные стальные окрашенные с автоматическим укладчиком с ИНЕРЦИОННЫМ МЕХАНИЗМОМ,,,
AV 6001 FE,Барабан окрашенный для рукава длиной 40 м 3/4” или 30 м 1”,,1052
AV 6000 FE,Барабан окрашенный для рукава длиной 60 м 1/2”,,1095
Барабаны из окрашенной стали в кожухе с ИНЕРЦИОННЫМ МЕХАНИЗМОМ,,,
AVC 3020 FE,"Барабан окрашенный в корпусе для рукава длиной 20 м 1/2""",,384
AVC 3015 FE,"Барабан окрашенный в корпусе для рукава длиной 15 м 1/2""",,316
ST 25 FE,Кронштейн поворотный окрашенный для барабана AVC 3020 FE,,89
ST 26 FE,Кронштейн поворотный окрашенный для барабана AVC 3015 FE,,89
Барабаны из окрашенной стали с ручной намоткой,,,
AVM 9814FE,Барабан усиленный для рукава 15 м 3/4” или 10 м 1”,,285
AVM 9815FE,Барабан усиленный для рукава 20 м 3/4” или 15 м 1”,,292
AVM 9816FE,Барабан усиленный для рукава 25 м 3/4” или 20 м 1”,,332
AVM 9817FE,Барабан усиленный для рукава 30 м 3/4” или 25 м 1”,,355
AVM 9810FE,Барабан усиленный для рукава 35 м 3/8” или 25 м 1/2”,,260
AVM 9811FE,Барабан усиленный для рукава 50 м 3/8” или 35 м 1/2”,,285
AVM 9812FE,Барабан усиленный для рукава 60 м 3/8” или 43 м 1/2”,,309
AVM 9813FE,Барабан усиленный для рукава 70 м 3/8” или 50 м 1/2”,,320
AVM 9919FE,Барабан усиленный для рукава 60 м 3/8” или 50 м 1/2”,,334
AVM 9921FE,Барабан усиленный для рукава 100 м 3/8” или 80 м 1/2”,,360
Барабаны для гофрированных рукавов напольные из окрашенной стали для пылеводососов,,,
AVM 9919FE special,Барабан усиленный для рукава 60 м 3/8” или 50 м 1/2”,,334
AVM 9921FE special,Барабан усиленный для рукава 100 м 3/8” или 80 м 1/2”,,360
AV 2050,Барабан окрашенный для пылеводососа,,1425
Барабан окрашенный напольный,,,
29.0380.50 BO,"Барабан 250 бар, (под 50м РВД DN8)",,391
29.0380.10 BO,"Барабан 250 бар, (под 100м РВД DN8)",,402